,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
82,1,0,4.5,155,6,4,37,300.0,214
83,1,0,4.1,305,8,11,209,700.0,214
84,1,0,3.9,38,1,17,201,150.0,214
85,1,0,3.9,441,1,31,366,400.0,214
86,1,0,4.3,630,6,31,322,200.0,214
87,1,0,3.9,160,8,31,16,300.0,214
88,1,0,4.2,287,1,31,247,350.0,214
89,1,0,4.1,402,1,7,73,500.0,214
90,1,0,3.8,469,3,11,260,750.0,214
91,1,0,3.3,511,8,11,22,550.0,214
92,1,0,3.9,264,1,31,346,200.0,214
93,1,0,3.0,62,1,7,105,400.0,214
94,1,0,3.8,693,1,11,328,750.0,214
95,1,0,3.8,242,6,11,234,650.0,214
96,1,0,4.1,163,3,31,151,500.0,214
97,1,0,4.2,191,3,31,376,250.0,166
98,1,0,3.5,32,1,31,335,150.0,214
99,1,0,2.5,247,1,11,247,500.0,214
100,1,1,4.1,2339,6,11,259,1500.0,214
101,1,0,4.1,337,6,31,126,300.0,214
102,1,0,3.9,135,1,11,269,800.0,214
103,1,0,3.6,172,14,11,258,700.0,214
104,1,0,3.6,105,1,11,384,700.0,214
105,1,0,4.2,504,1,7,117,550.0,214
106,1,1,4.3,1129,6,11,218,1300.0,214
107,1,0,4.3,860,1,17,168,500.0,214
108,1,0,3.8,412,6,11,15,700.0,214
109,1,1,3.9,142,6,11,236,1000.0,214
110,1,0,3.6,143,6,11,350,750.0,214
111,1,0,4.4,181,6,4,39,250.0,214
112,1,0,3.8,70,6,31,321,200.0,214
113,1,0,3.8,164,3,31,330,600.0,214
114,1,0,3.6,58,8,31,83,650.0,214
115,0,0,3.8,148,3,13,256,550.0,214
116,0,0,3.9,206,3,31,362,450.0,214
117,0,0,3.7,217,3,11,284,450.0,214
118,0,0,3.8,148,3,31,190,150.0,214
119,1,0,2.9,177,6,11,262,700.0,214
120,1,0,3.7,136,1,31,339,600.0,214
121,1,0,4.1,185,6,31,220,200.0,214
122,1,0,3.8,155,9,11,368,400.0,214
123,1,0,3.8,42,1,31,364,300.0,120
124,1,0,3.8,286,3,11,247,600.0,214
125,1,0,3.8,160,1,11,258,700.0,214
126,1,0,3.8,59,1,11,258,750.0,214
127,1,0,4.0,89,6,31,348,200.0,214
128,1,0,3.9,40,3,11,283,600.0,214
129,1,0,2.5,35,3,31,174,200.0,214
130,1,0,3.6,62,1,32,213,600.0,214
131,1,0,4.1,139,6,11,282,550.0,214
132,1,0,3.7,237,1,31,358,200.0,133
133,1,0,3.9,388,1,11,61,650.0,214
134,1,0,3.9,128,8,11,356,500.0,3
135,1,1,4.1,1875,6,11,249,1200.0,214
136,1,0,3.8,90,1,7,73,650.0,214
137,1,0,4.2,179,1,16,325,600.0,214
138,1,0,4.3,275,3,31,346,100.0,109
139,1,0,3.7,323,6,11,143,850.0,214
140,1,0,4.3,322,6,11,346,400.0,214
141,1,0,2.6,157,6,7,76,450.0,214
142,1,0,3.9,543,3,31,358,300.0,110
143,1,0,3.7,180,1,7,118,500.0,214
144,1,0,4.2,444,3,31,346,100.0,163
145,1,0,3.9,134,6,31,379,400.0,174
146,1,0,3.8,577,6,11,311,900.0,214
147,1,0,3.9,144,6,11,279,550.0,214
148,1,0,4.1,787,1,11,137,800.0,214
149,1,0,3.6,84,1,31,364,250.0,4
150,1,1,4.0,349,1,11,343,1200.0,214
151,1,0,3.7,248,8,31,294,400.0,214
152,1,0,4.1,216,3,7,90,500.0,214
153,1,0,4.0,324,1,7,112,700.0,214
154,1,0,2.6,231,8,31,280,400.0,186
155,1,0,3.4,102,14,11,365,400.0,31
156,1,0,3.9,133,1,7,103,800.0,214
157,1,0,2.8,45,1,11,333,800.0,214
158,1,0,3.8,75,1,31,177,200.0,214
159,1,0,4.0,53,10,16,239,600.0,214
160,1,1,4.2,815,6,11,258,900.0,214
161,1,1,4.0,633,1,11,258,800.0,214
162,1,0,3.5,56,6,17,205,400.0,214
163,1,0,3.9,70,1,17,180,400.0,214
164,1,0,3.9,91,6,7,102,300.0,214
165,1,0,3.8,77,8,7,93,650.0,214
166,1,0,3.8,210,8,11,270,600.0,214
167,1,0,4.1,130,6,7,115,650.0,214
168,1,0,4.1,30,6,4,39,100.0,214
169,1,0,3.8,144,1,7,123,700.0,214
170,1,0,3.7,133,6,11,142,700.0,214
171,1,0,4.0,136,6,31,358,350.0,67
172,1,0,3.8,74,3,31,364,300.0,214
173,1,0,3.7,54,3,7,80,600.0,214
174,1,0,3.4,58,3,7,100,400.0,214
175,1,0,3.6,129,1,11,235,600.0,214
176,1,0,3.5,41,13,21,329,400.0,214
177,1,0,4.1,176,3,11,12,800.0,214
178,1,0,3.7,47,6,33,179,400.0,214
179,1,1,3.7,36,6,11,135,650.0,214
180,1,0,3.9,101,3,31,346,150.0,214
181,1,1,4.1,442,6,30,153,1200.0,214
182,1,0,3.8,53,6,31,202,250.0,214
183,1,0,4.0,232,6,31,353,400.0,214
184,1,0,3.9,221,6,11,122,700.0,214
185,1,1,4.1,1063,6,12,214,1200.0,214
186,1,0,3.7,93,3,31,375,200.0,214
187,1,0,3.9,233,6,11,217,800.0,214
188,1,0,3.9,211,6,11,178,500.0,214
189,1,0,4.0,1778,6,31,319,200.0,1
190,1,0,3.6,218,15,11,282,800.0,214
191,1,0,3.7,514,3,7,110,600.0,214
192,1,1,4.0,866,6,11,288,900.0,214
193,1,0,3.2,96,8,31,247,400.0,214
194,1,0,3.5,80,1,31,383,250.0,214
195,1,0,4.0,73,3,0,26,300.0,127
196,1,0,3.9,84,6,34,243,400.0,214
197,1,0,3.5,88,1,31,366,350.0,214
198,1,0,3.5,179,1,11,260,600.0,214
199,1,0,3.8,61,3,31,219,100.0,214
200,1,0,3.7,128,14,11,268,450.0,214
201,1,0,3.8,339,6,31,364,400.0,30
202,1,0,4.1,449,3,31,375,100.0,214
203,1,0,4.1,210,6,18,32,150.0,214
204,1,0,3.0,213,1,31,313,400.0,214
205,1,0,3.2,208,6,6,381,250.0,169
206,1,0,3.8,70,1,31,346,100.0,6
207,1,0,4.0,219,3,7,108,600.0,214
208,1,0,3.7,59,1,31,321,200.0,214
209,1,0,3.7,124,8,11,57,750.0,214
210,1,1,4.1,775,1,11,305,800.0,214
211,1,1,4.2,2022,6,11,309,1000.0,214
212,1,1,4.2,150,1,7,112,600.0,60
213,1,0,4.0,232,3,11,258,750.0,214
214,1,1,3.5,431,6,11,247,800.0,214
215,1,1,4.2,2115,1,11,332,800.0,214
216,1,0,4.2,150,6,11,247,800.0,65
217,1,0,3.8,155,6,11,368,450.0,214
218,1,1,4.1,666,6,12,8,1000.0,214
219,1,0,3.9,240,3,7,73,700.0,214
220,1,0,3.8,918,1,9,116,800.0,214
221,1,0,4.0,465,6,11,368,600.0,113
222,1,1,4.1,970,6,27,290,1500.0,214
223,1,0,3.3,128,1,31,258,300.0,214
224,1,0,3.6,241,8,31,258,300.0,214
225,1,0,4.3,734,1,31,368,200.0,134
226,1,0,3.8,130,6,31,253,400.0,214
227,1,0,4.2,261,6,7,89,700.0,214
228,1,0,4.0,191,8,31,369,300.0,5
229,1,0,4.1,364,3,11,355,550.0,8
230,1,0,3.9,888,1,11,315,750.0,112
